s,p,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101539,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87543
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9081,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87543
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101540,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87543
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9084,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87543
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40007,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40008,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139835,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139833
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139834,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139833
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17282,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118491
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118494,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118491
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118492,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118491
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118495,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118491
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118493,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118491
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C169043,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39844
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6607,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6464
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64611,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89010
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64610,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89010
