p,s,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139746,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139745,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139744
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C185923,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C186268
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C185911,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C186268
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24092,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24089
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24093,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24089
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24091,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24089
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24094,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24089
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24090,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24089
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139739,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139738
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139740,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139738
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36228,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C168680
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C168676,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C168680
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6139,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5986
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4006,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90494
